smiles,energy_hartree,gap_eV
CCCC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(Oc2ccccc2)c1,-78.27987788288709,2.9442269312339264
O=CC(Cc1ccccc1)NC(=O)c1ccccc1OCc1ccc2ccccc2c1,-84.62815995404314,2.884892390602194
CC(=O)OCCN1N=C(c2ccc(-n3ccnc3)cc2)CCC1=O,-69.49389420428172,2.5627682542367074
CC/C=C(\NC(=O)CC(C)C)C(=O)O,-45.211571048053045,3.480803507779445
CC1(C)C(=O)Nc2cc3[nH]c(-c4cnsn4)nc3cc21,-55.42883076513496,1.989996115159984
CCSc1ccnc(CSc2nc3ccccc3n2CC2CO2)c1C,-70.70796053912403,2.320201321386651
Cc1[nH]c(C)c(C(=O)OC2CCN(CCc3ccccc3)CC2)c1C,-73.26407372278601,2.8498815842637697
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-81.66272906787839,2.0051287065869805
Cc1nc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)sc1C,-68.06114292709213,2.3839898909718444
CCOP(=O)(OCC)OC1Cc2c(cccc2N(C)CC#CC#CC(C)(C)C)NC1=O,-93.81093078399948,2.7624187831141604
CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](CS)[C@H]2S1(=O)=O,-55.64908334462268,2.76316850156002
CCN(CC)CCCOc1ccc(-c2ccc(C(=O)N(CC)CC)cc2)cc1,-82.7176962103748,2.8502137695856358
O=S(=O)(Nc1ccccc1OCc1ccc2ccccc2n1)C(F)(F)F,-78.48219184402447,2.332407387971415
Cc1c(C)c2ccc(OS(N)(=O)=O)c(C)c2oc1=O,-58.85867536586827,3.0995562317394
Nc1ccc(Cn2cnc3ncnc-3c2O)cc1,-49.98779833672911,2.5596029293954974
Cc1nc(CC(N)C(=O)O)c[nH]1,-37.511804081969686,3.2619499815491184
Cc1ccc(/C=C2\CCCc3cc(C)cnc32)cc1,-51.15188007654649,2.855218476617575
C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,-62.21147363157882,3.0774232307566654
CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,-76.92427071806613,2.795319769406734
CCN1C(=O)c2cc(N)ccc2Oc2cc(C)cc(C)c21,-59.58596397225723,3.0132833940072663
Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(COc3ccccn3)nc1)CC2,-90.88312937022152,3.0897041162033934
CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccccc1O,-80.64224888726687,2.4727325728277503
CCCC(=O)Nc1c2c(nc3ncccc13)CCCC2,-56.82305019978113,1.644462823925435
C=C1C(CO)C(O)C(O)C1n1cnc2c(N)ncnc21,-60.171841852805166,2.92091655541134
Cc1ccc(NC(=O)c2ccccc2)c(=O)n1CC(=O)NCC1CCN(C(=N)N)CC1,-91.16490378638142,2.560440574706716
CCOC(=O)CCCCCOC(COCc1ccc(OC)cc1)Cn1ccnc1,-89.61653393217794,3.622109363358664
Cc1ccc(C(=O)OCc2ccccc2)cc1CCn1cnc2c1NC=NCC2O,-85.39844571096552,2.254620562519919
CC(C)c1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-72.69116215950321,3.2260680939816715
CC(C)(C)OC(=O)C1=C(O)C(=O)N(Cc2cccs2)C1,-61.10381825553068,2.977375189972928
O=C(CN(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1cc(Cl)cc(Cl)c1O)NO,-88.18815315523608,2.132068243274167
CC[C@H](c1ccc(O)cc1)[C@@H](CC(C)=O)c1ccc(O)cc1,-64.09004456687194,3.0411967823279986
CN(C)c1ccc(C(=O)Nc2ccccc2)cc1,-50.18547805082925,2.959108169903599
CCn1c(-c2ccc(O)cc2)c(C)c2cc(O)ccc21,-56.15350429471901,2.9769634670746608
CCCCN(C)/C(C)=N/C(=N/c1ccccc1)N1CCOCC1,-68.59379226345341,2.9486428354066976
Nc1n[n+]([O-])c2cc(C(F)(F)F)ccc2[n+]1[O-],-53.60552803965454,1.4197275205690556
CN1CCN(C(=O)COc2ccc(OCCNCC(O)COc3ccccc3)cc2)CC1,-97.28656403201948,3.403557730637256
Cc1ccc(S(=O)(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)cc1,-64.71474068814388,1.7741127039760864
Cc1nn(-c2ccc(Cl)c([N+](=O)[O-])c2)c2oc3ccccc3c(=O)c12,-71.00334163906047,1.8242611203605312
COc1ccc2c(c1)C1(C)N[C@@H]2CC2CCCCC21,-55.15808339593998,3.405460627501462
c1ccc(-c2nnc3c4ccccc4c(N4CCCC4)nn23)cc1,-63.9780740764153,2.2669309750078948
Cn1cc(C2=C(c3cn(C)c4cccc([N+](=O)[O-])c34)C(=O)NC2=O)c2ccccc21,-83.19065952527293,1.303874436927955
CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,-42.93162781501348,2.548049128160792
CC1(C)Cc2c(Cl)cccc2C=[N+]1[O-],-41.18160086988199,2.483451553468196
CCNCCCNCCCNCCCNCC,-55.81952997410439,9.437078559715925
O=P(O)(O)C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1)c1cccc2ccccc12,-97.29671877580292,2.6626004209606866
Cc1nc(O)c2cc(CN(CCF)c3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)s3)ccc2n1,-102.95574831849665,1.8263912810621263
Oc1ccc(-c2nc3ccc(O)cc3s2)cc1,-46.73616004656581,2.7344689725192977
COc1ccc(C[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1,-72.5968352063915,3.1819576397684664
CCOC(=O)c1cnc2ccc(C3(CCC(=O)NCCC(C)C)CCC(=O)NC3=O)cc2c1O,-102.59217877118398,2.264559730862276
CC(C)NCC(O)COc1ccc(/C=C/CO)cc1,-58.91984475562443,3.53368427408971
COc1cccc(-c2cc(O)c3cc(N(C)C)ccc3n2)c1,-61.69778615434803,2.202578093602007
CC(C)CC(=O)N/C(=C\CCC(=O)O)C(=O)O,-55.49777027435255,3.479728344939379
O=C(O)CCc1ccccc1CC1C2CCC(O2)C1c1nc(C(=O)NCCc2ccccc2)co1,-101.48272235961232,3.487914493575548
CCCOCC/N=C(\N)Nc1nc(-c2ccc(CNC(C)=O)o2)cs1,-76.0476749317475,3.038998029342193
CCc1cc(C(C)=O)c(O)cc1OCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cn1,-94.2479955097802,2.4207159973566554
Clc1ccc2oc(SCC3OCCc4ccccc43)nc2c1,-62.412235913689095,3.0848451039443563
CC1(C)O[C@H]2[C@@H]3OCO[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,-68.8187511831962,6.828358352324401
CCCCCCC(C(=O)O)n1cnc2cc(-c3ccccc3S(=O)(=O)O)ccc21,-86.67723904392494,3.07257233485166
CC(C)N1C(=O)NC(c2ccc(C(=O)O)cc2)c2cc3c(cc21)OCO3,-76.10855408833653,2.2730337821967543
CC(=O)Nc1ccc(CC(=O)NCCNCC(O)c2ccccc2)cc1,-76.5427234639361,3.4399348979199464
CCCCC[C@@H]1/C=C\C2[C@H](O)CC(=O)[C@@H]2C/C=C\CCCC(=O)O1,-74.37760566545452,3.498464254174793
COc1ccc(-c2nc(C)oc2-c2cc(OC)c(OC)c(OC)c2)cc1O,-80.8619181300731,2.9789846659864665
O=C(CCC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,-69.53237849142907,4.114538522069763
O=C1OCC(c2ccccc2)=C1O,-37.67054466044187,3.258355860184276
O=C(O)CCC/C=C\C[C@H]1[C@H](F)CC[C@@H]1NS(=O)(=O)c1ccc(F)cc1F,-86.39278883725984,3.0154535976525367
CC(C)=CC[C@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,-62.72389501847411,1.2009849878435976
CN(CC#CC#CC(C)(C)O)c1cccc2c1CCC(=O)N2,-62.61179437630936,3.077139179939892
CSc1c(Cl)nc(NC(C)(C)C)nc1N1CCN(C)CC1,-64.68026627229268,2.489937852774983
CCCC(=O)NCCc1c2n(c3ccccc13)CCCc1ccccc1-2,-72.47476037998202,2.865892685866981
CC(C)N1CCOC(c2ccc(O)c(O)c2)C1,-52.65466879187746,3.200244302672918
Cc1cn(C2CC(O)C(CNC(=O)CI)O2)c(=O)[nH]c1=O,-66.83571488101028,3.6616352577601714
CC1CN1CC(O)CC1CC1,-34.877344879171524,7.727333591632006
C(=C/c1ccccc1)\CNCc1cccc2ccccc12,-55.3777917177914,2.5646325905623435
CCC(=O)NCCn1c(-c2ccccc2)cc2ccc(OC)cc21,-68.04514619860981,2.9209056382176084
CC(=O)N1c2ncccc2C(=O)N(C)c2cccnc21,-55.94405322714933,2.505625403426305
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOCC3)cc21,-69.80963726290081,2.639416587219278
CC(=O)Nc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,-58.66622290809883,2.4497123605551567
NCC(O)c1ccc(O)c(O)c1F,-42.05473261280404,3.713176538193796
CC(C)(CCCOc1ccc(OCCCC(C)(C)C(=O)O)c(Cl)c1)C(=O)O,-86.61687475389057,3.414258720106611
N#Cc1cccc(NC(=O)NCCCN2CC[C@@H]3[C@H](C2)c2cccc4c2N3CC4)c1,-83.84465716884812,1.9501522415610768
COc1ccc(CCN(CCCN2CCc3cc(OC)c(OC)cc3CC2=O)C(C)=O)cc1OC,-106.46457165708895,3.5500999882539888
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)s1,-82.90942663181544,2.2546425422534924
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1Cc1ccccc1,-56.689101687607895,3.7885079288914296
